raw_query,cleaned_query,topic,topic_label,topic_label_final
help me to report registration issues,help me to report registration issues,19,Registration Help & Issues,Registration Help & Issues
help me to see the termination charge,help me to see the termination charge,13,Cancellation Fees,Cancellation Fees
help me to see the withdrawal charge,help me to see the withdrawal charge,13,Cancellation Fees,Cancellation Fees
help me to solve a payment issue,help me to solve a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
help me to solve payment issues,help me to solve payment issues,17,Payment Issues Assistance,Payment Issues Assistance
help me to speak with someone,help me to speak with someone,12,Contact Live Agent,Contact Live Agent
help me to talk to an agent,help me to talk to an agent,12,Contact Live Agent,Contact Live Agent
help me to talk with an assistant,help me to talk with an assistant,12,Contact Live Agent,Contact Live Agent
help receiving a rebate,help receiving a rebate,1,Refunds Related Help,Refunds Related Help
help regarding my registration,help regarding my registration,19,Registration Help & Issues,Registration Help & Issues
help regarding our registration,help regarding our registration,19,Registration Help & Issues,Registration Help & Issues
help regarding payment,help regarding payment,17,Payment Issues Assistance,Payment Issues Assistance
help regarding payments,help regarding payments,17,Payment Issues Assistance,Payment Issues Assistance
help regarding the registration,help regarding the registration,19,Registration Help & Issues,Registration Help & Issues
help registering,help registering,19,Registration Help & Issues,Registration Help & Issues
help reporting a payment issue,help reporting a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
help reporting a registration issue,help reporting a registration issue,19,Registration Help & Issues,Registration Help & Issues
help reporting issues with payments,help reporting issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
help reporting payment issues,help reporting payment issues,17,Payment Issues Assistance,Payment Issues Assistance
help solving issues with payments,help solving issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
help switching user,help switching user,14,Switching Accounts,Switching Accounts
help talking to an agent,help talking to an agent,12,Contact Live Agent,Contact Live Agent
help to buy several items,help to buy several items,21,Buying Assistance,Buying Assistance
help to buy some items,help to buy some items,21,Buying Assistance,Buying Assistance
help to buy something,help to buy something,21,Buying Assistance,Buying Assistance
help to check what options for delivery you offer,help to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
help to register,help to register,19,Registration Help & Issues,Registration Help & Issues
help to report a payment issue,help to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
help to report a registration issue,help to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
help to report issues with payment,help to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
help to report payment issues,help to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
help to report registration problems,help to report registration problems,19,Registration Help & Issues,Registration Help & Issues
help to see the termination fees,help to see the termination fees,13,Cancellation Fees,Cancellation Fees
help to see the termination penalties,help to see the termination penalties,13,Cancellation Fees,Cancellation Fees
help to solve issues with payment,help to solve issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
help to solve issues with payments,help to solve issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
help to talk to an agent,help to talk to an agent,12,Contact Live Agent,Contact Live Agent
help with adding some items,help with adding some items,9,Order Modifications,Order Modifications
help with my registration,help with my registration,19,Registration Help & Issues,Registration Help & Issues
help with payments,help with payments,17,Payment Issues Assistance,Payment Issues Assistance
help with registration,help with registration,19,Registration Help & Issues,Registration Help & Issues
help with the registration,help with the registration,19,Registration Help & Issues,Registration Help & Issues
i am calling to lodge a claim against your organization,i am calling to lodge a claim against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i am looking for information about the kkey reset,i am looking for information about the key reset,16,Password Recovery,Password Recovery
"i am not happy with your work, file a consumer rfeclamation","i am not happy with your work, file a consumer reclamation",20,Customer - Claim/Complaint,Customer - Claim/Complaint
"i am not your customer, i want help signing pu","i am not your customer, i want help signing pu",20,Customer - Claim/Complaint,Customer - Claim/Complaint
i am trying to buy several items,i am trying to buy several items,21,Buying Assistance,Buying Assistance
i am trying to buy something,i am trying to buy something,21,Buying Assistance,Buying Assistance
i am trying to check the early exit charge,i am trying to check the early exit charge,13,Cancellation Fees,Cancellation Fees
i am trying to edit my address,i am trying to edit my address,25,Edit Account Information,Edit Account Information
i am trying to notify of registration issues,i am trying to notify of registration issues,19,Registration Help & Issues,Registration Help & Issues
i am trying to register,i am trying to register,19,Registration Help & Issues,Registration Help & Issues
i am trying to report a registration issue,i am trying to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i am trying to report registration issues,i am trying to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i am trying to see the goddamn early termination charges,i am trying to see the  early termination charges,13,Cancellation Fees,Cancellation Fees
i am trying to talk with someone,i am trying to talk with someone,12,Contact Live Agent,Contact Live Agent
i call to check what options for delivery you offer,i call to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
i call to lodge a consumer reclamation against ur business,i call to lodge a consumer reclamation against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i call to lodge a consumer reclamation against your company,i call to lodge a consumer reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i can't find the early exit penalties,i can't find the early exit penalties,13,Cancellation Fees,Cancellation Fees
i can't find the termination charges,i can't find the termination charges,13,Cancellation Fees,Cancellation Fees
i can't report a registration issue,i can't report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i cannot find the early termination penalties,i cannot find the early termination penalties,13,Cancellation Fees,Cancellation Fees
i cannot find the goddamn earpy exit charges i need help,i cannot find the  early exit charges i need help,13,Cancellation Fees,Cancellation Fees
"i cannot find the termination charges, i needhelp","i cannot find the termination charges, i need help",13,Cancellation Fees,Cancellation Fees
i cannot find the termination penalties i need help,i cannot find the termination penalties i need help,13,Cancellation Fees,Cancellation Fees
"i cannot find the withdrawal charge, i neerd assistance","i cannot find the withdrawal charge, i need assistance",13,Cancellation Fees,Cancellation Fees
"i cannot register, help me notify of registration errors","i cannot register, help me notify of registration errors",19,Registration Help & Issues,Registration Help & Issues
"i cannot register, i need help reporting issues","i cannot register, i need help reporting issues",19,Registration Help & Issues,Registration Help & Issues
i cannot remember the pin of my account help me resoring it,i cannot remember the pin of my account help me restoring it,16,Password Recovery,Password Recovery
i cannot remove some items,i cannot remove some items,5,Account Termination Requests,Order Modifications
"i cannott find the early exit penalty, i need assistance","i cannot find the early exit penalty, i need assistance",13,Cancellation Fees,Cancellation Fees
i do not know how i could add something,i do not know how i could add something,9,Order Modifications,Order Modifications
i do not know how i could cancel the order i have made,i do not know how i could cancel the order i have made,6,Order Cancellation,Order Cancellation
i do not know how i could register,i do not know how i could register,19,Registration Help & Issues,Registration Help & Issues
i do not know how i could report a payment issue,i do not know how i could report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i do not know how i could report a registration issue,i do not know how i could report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i do not know how i could report issues with payment,i do not know how i could report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i do not know how i could report payment issues,i do not know how i could report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i do not know hwat to do to see the withdrawal charges,i do not know what to do to see the withdrawal charges,13,Cancellation Fees,Cancellation Fees
i do not know what i have to do to correct the user data,i do not know what i have to do to correct the user data,25,Edit Account Information,Edit Account Information
i do not know what i have to do to edit the user information,i do not know what i have to do to edit the user information,25,Edit Account Information,Edit Account Information
i do not know what i have to do to speak with somebody,i do not know what i have to do to speak with somebody,12,Contact Live Agent,Contact Live Agent
i do not know what to do to buy some items,i do not know what to do to buy some items,21,Buying Assistance,Buying Assistance
i do not know what to do to edit my user information,i do not know what to do to edit my user information,25,Edit Account Information,Edit Account Information
i do not know what to do to lodge a consumer reclamation,i do not know what to do to lodge a consumer reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i do not know what to do to make a consumer reclamation,i do not know what to do to make a consumer reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i do not know what to do to notify of registration problems,i do not know what to do to notify of registration problems,19,Registration Help & Issues,Registration Help & Issues
i do not know what to do to register,i do not know what to do to register,19,Registration Help & Issues,Registration Help & Issues
i do not know what to do to report a payment issue,i do not know what to do to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i do not know what to do to report a registration issue,i do not know what to do to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i do not know what to do to report payment issues,i do not know what to do to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i do not know what to do to report registration issues,i do not know what to do to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i do not know what to do to talk to an agent,i do not know what to do to talk to an agent,12,Contact Live Agent,Contact Live Agent
i do not know what to do to talk with customer assistance,i do not know what to do to talk with customer assistance,8,Customer Service Contact & Hours,Customer Service Contact & Hours
i do not know what to do to update the fucking user info,i do not know what to do to update the  user information,25,Edit Account Information,Edit Account Information
i do not understand a word ya say speak with an agent,i do not understand a word you say speak with an agent,12,Contact Live Agent,Contact Live Agent
i don't know how i could add something,i don't know how i could add something,9,Order Modifications,Order Modifications
i don't know how i could register,i don't know how i could register,19,Registration Help & Issues,Registration Help & Issues
i don't know how i could report a payment issue,i don't know how i could report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i don't know how i could report a registration issue,i don't know how i could report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i don't know how i could report issues with payment,i don't know how i could report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i don't know how i could report registration issues,i don't know how i could report registration issues,19,Registration Help & Issues,Registration Help & Issues
i don't know how i could talk to an agent,i don't know how i could talk to an agent,12,Contact Live Agent,Contact Live Agent
i don't know what i have to do to buy several items,i don't know what i have to do to buy several items,21,Buying Assistance,Buying Assistance
i don't know what i have to do to register,i don't know what i have to do to register,19,Registration Help & Issues,Registration Help & Issues
i don't know what i have to do to report issues with payment,i don't know what i have to do to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i don't know what i have to do to report payment issues,i don't know what i have to do to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i don't know what i have to do to report registration issues,i don't know what i have to do to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i don't know what i have to do to speak with somebody,i don't know what i have to do to speak with somebody,12,Contact Live Agent,Contact Live Agent
i don't know what i have to do to talk to an agent,i don't know what i have to do to talk to an agent,12,Contact Live Agent,Contact Live Agent
i don't know what i have to do to talk to customer asistance,i don't know what i have to do to talk to customer assistance,8,Customer Service Contact & Hours,Customer Service Contact & Hours
i don't know what to do to buy several items,i don't know what to do to buy several items,21,Buying Assistance,Buying Assistance
i don't know what to do to check the withdrawal penalty,i don't know what to do to check the withdrawal penalty,13,Cancellation Fees,Cancellation Fees
i don't know what to do to register,i don't know what to do to register,19,Registration Help & Issues,Registration Help & Issues
i don't know what to do to report a payment issue,i don't know what to do to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i don't know what to do to report a registration issue,i don't know what to do to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i don't know what to do to report issues with payment,i don't know what to do to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i don't know what to do to report payment issues,i don't know what to do to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i don't know what to do to report registration issues,i don't know what to do to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i don't know what to do to see the early exit charge,i don't know what to do to see the early exit charge,13,Cancellation Fees,Cancellation Fees
i don't know what to do to see the early exit charges,i don't know what to do to see the early exit charges,13,Cancellation Fees,Cancellation Fees
i don't know what to do to see the withdrawal fees,i don't know what to do to see the withdrawal fees,13,Cancellation Fees,Cancellation Fees
i don't know what to do to talk to an agent,i don't know what to do to talk to an agent,12,Contact Live Agent,Contact Live Agent
i don't want an order i have made,i don't want an order i have made,6,Order Cancellation,Order Cancellation
i don't want the order i have made,i don't want the order i have made,6,Order Cancellation,Order Cancellation
i dont know how i could make a reclamation,i dont know how i could make a reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i dont know what to do to contact a person,i dont know what to do to contact a person,12,Contact Live Agent,Contact Live Agent
i dont know what to do to talk to a fucking live agent,i dont know what to do to talk to a  live agent,12,Contact Live Agent,Contact Live Agent
i get an error when i try to pay,i get an error when i try to pay,17,Payment Issues Assistance,Payment Issues Assistance
i have a goddamn trouble registering,i have a  trouble registering,19,Registration Help & Issues,Registration Help & Issues
i have a problem with removing several items,i have a problem with removing several items,5,Account Termination Requests,Account Termination Requests
i have a problem with removing something,i have a problem with removing something,5,Account Termination Requests,Account Termination Requests
i have a problem with the access key reset,i have a problem with the access key reset,16,Password Recovery,Password Recovery
i have a question about my payments,i have a question about my payments,17,Payment Issues Assistance,Payment Issues Assistance
i have a question about my registration,i have a question about my registration,19,Registration Help & Issues,Registration Help & Issues
i have a question about the access key retrieval,i have a question about the access key retrieval,16,Password Recovery,Password Recovery
i have a registration issue,i have a registration issue,19,Registration Help & Issues,Registration Help & Issues
i have got to add several items,i have got to add several items,9,Order Modifications,Order Modifications
i have got to buy several items,i have got to buy several items,21,Buying Assistance,Buying Assistance
i have got to cancel the order i have made,i have got to cancel the order i have made,6,Order Cancellation,Order Cancellation
i have got to inform of a registration issue,i have got to inform of a registration issue,19,Registration Help & Issues,Registration Help & Issues
i have got to make a reclamation against ur commpany,i have got to make a reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
"i have got to modify the data on my profile, ca you help me?","i have got to modify the data on my profile, ca you help me?",25,Edit Account Information,Edit Account Information
i have got to notify of a registration error,i have got to notify of a registration error,19,Registration Help & Issues,Registration Help & Issues
i have got to register,i have got to register,19,Registration Help & Issues,Registration Help & Issues
i have got to remove something,i have got to remove something,5,Account Termination Requests,Order Modifications
i have got to report a registration issue,i have got to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i have got to report payment issues,i have got to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i have got to report registration issues,i have got to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i have got to reset my key,i have got to reset my key,16,Password Recovery,Password Recovery
i have got to talk to an agent,i have got to talk to an agent,12,Contact Live Agent,Contact Live Agent
"i have got to unsubscribe to your newsletter, i need help","i have got to unsubscribe to your newsletter, i need help",18,Newsletter Management,Newsletter Management
i have issues trying to register,i have issues trying to register,19,Registration Help & Issues,Registration Help & Issues
i have issues updating my address,i have issues updating my address,0,Change Delivery Address,Change Delivery Address
i have issues with my registration,i have issues with my registration,19,Registration Help & Issues,Registration Help & Issues
i have issues with our registration,i have issues with our registration,19,Registration Help & Issues,Registration Help & Issues
i have issues with the registration,i have issues with the registration,19,Registration Help & Issues,Registration Help & Issues
i have problems with adding something,i have problems with adding something,9,Order Modifications,Order Modifications
i have problems with canceling an order i have made,i have problems with cancelling an order i have made,6,Order Cancellation,Order Cancellation
i have problems with removing something,i have problems with removing something,5,Account Termination Requests,Account Termination Requests
i have put my old address by mistake,i have put my old address by mistake,0,Change Delivery Address,Change Delivery Address
i have put the old address by mistake,i have put the old address by mistake,0,Change Delivery Address,Change Delivery Address
i have registration issues,i have registration issues,19,Registration Help & Issues,Registration Help & Issues
i have to add something,i have to add something,9,Order Modifications,Order Modifications
i have to buy several items,i have to buy several items,21,Buying Assistance,Buying Assistance
i have to buy some items,i have to buy some items,21,Buying Assistance,Buying Assistance
i have to check the early termination charge,i have to check the early termination charge,13,Cancellation Fees,Cancellation Fees
i have to contact a live agent,i have to contact a live agent,12,Contact Live Agent,Contact Live Agent
i have to contact somebody,i have to contact somebody,12,Contact Live Agent,Contact Live Agent
i have to register,i have to register,19,Registration Help & Issues,Registration Help & Issues
i have to remove several items,i have to remove several items,5,Account Termination Requests,Order Modifications
i have to report a registration issue,i have to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i have to report issues with payment,i have to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i have to report issues with payments,i have to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i have to report registration issues,i have to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i have to speak with someone,i have to speak with someone,12,Contact Live Agent,Contact Live Agent
i have to talk to an agent,i have to talk to an agent,12,Contact Live Agent,Contact Live Agent
"i have to unsubscribe to your bloody newsletter, i need help","i have to unsubscribe to your  newsletter, i need help",18,Newsletter Management,Newsletter Management
i have troubles with my online registration,i have troubles with my online registration,19,Registration Help & Issues,Registration Help & Issues
i missed some items,i missed some items,2,Order Tracking,Order Tracking
i need an agent,i need an agent,12,Contact Live Agent,Contact Live Agent
i need assistance buying some items,i need assistance buying some items,21,Buying Assistance,Buying Assistance
i need assistance buying something,i need assistance buying something,21,Buying Assistance,Buying Assistance
i need assistance chatting with somebody,i need assistance chatting with somebody,12,Contact Live Agent,Contact Live Agent
i need assistance chatting witth a person,i need assistance chatting with a person,12,Contact Live Agent,Contact Live Agent
i need assistance correcting my user information,i need assistance correcting my user information,25,Edit Account Information,Edit Account Information
i need assistance filing a complaint against your business,i need assistance filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need assistance filing a reclamation against your company,i need assistance filing a reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need assistance leaving a review for a service,i need assistance leaving a review for a service,23,Leaving a Review,Leaving a Review
i need assistance leaving a review for your company,i need assistance leaving a review for your company,23,Leaving a Review,Leaving a Review
i need assistance leaving a review for your services,i need assistance leaving a review for your services,23,Leaving a Review,Leaving a Review
i need assistance making a fucking consumer reclamation,i need assistance making a  consumer reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need assistance notifying of damn registration problems,i need assistance notifying of  registration problems,19,Registration Help & Issues,Registration Help & Issues
i need assistance regarding the online registration,i need assistance regarding the online registration,19,Registration Help & Issues,Registration Help & Issues
i need assistance registering,i need assistance registering,19,Registration Help & Issues,Registration Help & Issues
i need assistance removing something,i need assistance removing something,5,Account Termination Requests,Account Termination Requests
i need assistance reporting a payment issue,i need assistance reporting a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance reporting a registration issue,i need assistance reporting a registration issue,19,Registration Help & Issues,Registration Help & Issues
i need assistance reporting issues with payments,i need assistance reporting issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance reporting registration issues,i need assistance reporting registration issues,19,Registration Help & Issues,Registration Help & Issues
i need assistance seeing the fucking early exit fee,i need assistance seeing the  early exit fee,13,Cancellation Fees,Cancellation Fees
i need assistance seeing the termination penalties,i need assistance seeing the termination penalties,13,Cancellation Fees,Cancellation Fees
i need assistance solving issues with payment,i need assistance solving issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance switching user,i need assistance switching user,14,Switching Accounts,Switching Accounts
i need assistance talking to an agent,i need assistance talking to an agent,12,Contact Live Agent,Contact Live Agent
i need assistance to buy several items,i need assistance to buy several items,21,Buying Assistance,Buying Assistance
i need assistance to check the early termination charges,i need assistance to check the early termination charges,13,Cancellation Fees,Cancellation Fees
i need assistance to inform of a registration issue,i need assistance to inform of a registration issue,19,Registration Help & Issues,Registration Help & Issues
i need assistance to register,i need assistance to register,19,Registration Help & Issues,Registration Help & Issues
i need assistance to report a payment issue,i need assistance to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance to report issues with payment,i need assistance to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance to report payment issues,i need assistance to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance to report registration issues,i need assistance to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i need assistance to solve issues with payment,i need assistance to solve issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance to solve issues with payments,i need assistance to solve issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i need assistance to talk to an agent,i need assistance to talk to an agent,12,Contact Live Agent,Contact Live Agent
i need assistance to talk with an agent,i need assistance to talk with an agent,12,Contact Live Agent,Contact Live Agent
i need assistance to update the user details,i need assistance to update the user details,25,Edit Account Information,Edit Account Information
i need assistance with adding some items,i need assistance with adding some items,9,Order Modifications,Order Modifications
i need help adding several items,i need help adding several items,9,Order Modifications,Order Modifications
