raw_query,cleaned_query,topic,topic_label,topic_label_final
assistance checking what delivery options i have,assistance checking what delivery options i have,4,Checking Delivery Options,Checking Delivery Options
assistance checking what hours customer service available is,assistance checking what hours customer service available is,8,Customer Service Contact & Hours,Customer Service Contact & Hours
assistance checking what hours i can reach customer service,assistance checking what hours i can reach customer service,8,Customer Service Contact & Hours,Customer Service Contact & Hours
assistance checking what options for delivery i can choose,assistance checking what options for delivery i can choose,4,Checking Delivery Options,Checking Delivery Options
assistance checking what options for delivery you offer,assistance checking what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
assistance checking what payment methods are available,assistance checking what payment methods are available,7,Accepted Payment Methods,Accepted Payment Methods
assistance checking what payment methods you accept,assistance checking what payment methods you accept,7,Accepted Payment Methods,Accepted Payment Methods
assistance checking when my delivery is going to arrive,assistance checking when my delivery is going to arrive,22,Delivery Time Inquiry,Delivery Time Inquiry
assistance checking when my item is going to arrive,assistance checking when my item is going to arrive,22,Delivery Time Inquiry,Delivery Time Inquiry
assistance checking your allowed payment methods,assistance checking your allowed payment methods,7,Accepted Payment Methods,Accepted Payment Methods
assistance checking your refund policy,assistance checking your refund policy,15,Refunds Related Help,Refunds Related Help
assistance contacting an agent,assistance contacting an agent,12,Contact Live Agent,Contact Live Agent
assistance contacting customer service,assistance contacting customer service,8,Customer Service Contact & Hours,Customer Service Contact & Hours
assistance creating a bloody new account,assistance creating a  new account,10,Account Creation Assistance,Account Creation Assistance
assistance creating a new user account,assistance creating a new user account,10,Account Creation Assistance,Account Creation Assistance
assistance creating an online account,assistance creating an online account,10,Account Creation Assistance,Account Creation Assistance
assistance deleting an account,assistance deleting an account,5,Account Termination Requests,Account Termination Requests
assistance deleting the account,assistance deleting the account,5,Account Termination Requests,Account Termination Requests
assistance editing my account,assistance editing my account,25,Edit Account Information,Edit Account Information
assistance editing my delivery address,assistance editing my delivery address,0,Change Delivery Address,Change Delivery Address
assistance filing a claim against ur business,assistance filing a claim against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance filing a complaint,assistance filing a complaint,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance filing a complaint against your business,assistance filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance filing a customer claim against your company,assistance filing a customer claim against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance finding my invoice,assistance finding my invoice,24,Invoice Retrieval,Invoice Retrieval
assistance finding the invoices,assistance finding the invoices,24,Invoice Retrieval,Invoice Retrieval
assistance getting a refund,assistance getting a refund,1,Refunds Related Help,Refunds Related Help
assistance getting my money back,assistance getting my money back,1,Refunds Related Help,Refunds Related Help
assistance getting refunds,assistance getting refunds,1,Refunds Related Help,Refunds Related Help
assistance getting refunds of money,assistance getting refunds of money,1,Refunds Related Help,Refunds Related Help
assistance getting the invoices from eight months ago,assistance getting the invoices from eight months ago,11,Invoice Retrieval,Invoice Retrieval
assistance leaving a review for a service,assistance leaving a review for a service,23,Leaving a Review,Leaving a Review
assistance leaving a review for your company,assistance leaving a review for your company,23,Leaving a Review,Leaving a Review
assistance lodging a consumer complaint,assistance lodging a consumer complaint,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance lodging a reclamation against your organization,assistance lodging a reclamation against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance making a purchase,assistance making a purchase,21,Buying Assistance,Buying Assistance
assistance opening a new account,assistance opening a new account,10,Account Creation Assistance,Account Creation Assistance
assistance recovering my password,assistance recovering my password,16,Password Recovery,Password Recovery
assistance registering,assistance registering,19,Registration Help & Issues,Registration Help & Issues
assistance reporting a payment issue,assistance reporting a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting a registration issue,assistance reporting a registration issue,19,Registration Help & Issues,Registration Help & Issues
assistance reporting issues with payment,assistance reporting issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting issues with payments,assistance reporting issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting payment issues,assistance reporting payment issues,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting registration issues,assistance reporting registration issues,19,Registration Help & Issues,Registration Help & Issues
assistance seeing the termination penalty,assistance seeing the termination penalty,13,Cancellation Fees,Cancellation Fees
assistance setting a different shipping address up,assistance setting a different shipping address up,0,Change Delivery Address,Change Delivery Address
assistance setting a new shipping address up,assistance setting a new shipping address up,0,Change Delivery Address,Change Delivery Address
assistance setting another shipping address up,assistance setting another shipping address up,0,Change Delivery Address,Change Delivery Address
assistance setting up a different shipping address,assistance setting up a different shipping address,0,Change Delivery Address,Change Delivery Address
assistance setting up a new shipping address,assistance setting up a new shipping address,0,Change Delivery Address,Change Delivery Address
assistance setting up another shipping address,assistance setting up another shipping address,0,Change Delivery Address,Change Delivery Address
assistance solving an issue with payment,assistance solving an issue with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance solving an issue with payments,assistance solving an issue with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance solving issues with payment,assistance solving issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance speaking with an agent,assistance speaking with an agent,12,Contact Live Agent,Contact Live Agent
assistance submitting some feedback for a service,assistance submitting some feedback for a service,20,Customer - Claim/Complaint,Leaving a Review
assistance submitting some feedback for your company,assistance submitting some feedback for your company,20,Customer - Claim/Complaint,Leaving a Review
assistance subscribing to your company newsletter,assistance subscribing to your company newsletter,18,Newsletter Management,Newsletter Management
assistance switching to another account,assistance switching to another account,14,Switching Accounts,Switching Accounts
assistance switching user,assistance switching user,14,Switching Accounts,Switching Accounts
assistance taking a quick look at the invoices from may,assistance taking a quick look at the invoices from may,11,Invoice Retrieval,Invoice Retrieval
assistance talking to an agent,assistance talking to an agent,12,Contact Live Agent,Contact Live Agent
assistance talking to an assistant,assistance talking to an assistant,12,Contact Live Agent,Contact Live Agent
assistance to buy several of your item,assistance to buy several of your item,21,Buying Assistance,Buying Assistance
assistance to buy some of your item,assistance to buy some of your item,21,Buying Assistance,Buying Assistance
assistance to buy something,assistance to buy something,21,Buying Assistance,Buying Assistance
assistance to cancel my corporate newsleter subscription,assistance to cancel my corporate newsletter subscription,18,Newsletter Management,Newsletter Management
assistance to cancel the goddamn user account,assistance to cancel the  user account,5,Account Termination Requests,Account Termination Requests
assistance to change an order,assistance to change an order,9,Order Modifications,Order Modifications
assistance to change my order,assistance to change my order,9,Order Modifications,Order Modifications
assistance to change my personal details,assistance to change my personal details,25,Edit Account Information,Edit Account Information
assistance to change my shipping address,assistance to change my shipping address,0,Change Delivery Address,Change Delivery Address
assistance to change the details included on my user profile,assistance to change the details included on my user profile,26,Changing User Profiles,Changing User Profiles
assistance to change the info included on my user profile,assistance to change the information included on my user profile,25,Edit Account Information,Edit Account Information
assistance to change the shipping address,assistance to change the shipping address,0,Change Delivery Address,Change Delivery Address
assistance to check how long refunds take,assistance to check how long refunds take,15,Refunds Related Help,Refunds Related Help
assistance to check how long refunds usually take,assistance to check how long refunds usually take,15,Refunds Related Help,Refunds Related Help
assistance to check how long the delivery takes,assistance to check how long the delivery takes,22,Delivery Time Inquiry,Delivery Time Inquiry
assistance to check how soon can i expect the item,assistance to check how soon can i expect the item,22,Delivery Time Inquiry,Delivery Time Inquiry
assistance to check if there is anything new on my refund,assistance to check if there is anything new on my refund,15,Refunds Related Help,Refunds Related Help
assistance to check in what cases can i ask for refunds,assistance to check in what cases can i ask for refunds,15,Refunds Related Help,Refunds Related Help
assistance to check my order eta,assistance to check my order eta,2,Order Tracking,Order Tracking
assistance to check my refund status,assistance to check my refund status,15,Refunds Related Help,Refunds Related Help
assistance to check the available payment options,assistance to check the available payment options,7,Accepted Payment Methods,Accepted Payment Methods
assistance to check the cancellation fee,assistance to check the cancellation fee,13,Cancellation Fees,Cancellation Fees
assistance to check the cancellation fees,assistance to check the cancellation fees,13,Cancellation Fees,Cancellation Fees
assistance to check the early termination fees,assistance to check the early termination fees,13,Cancellation Fees,Cancellation Fees
assistance to check the early termination penalty,assistance to check the early termination penalty,13,Cancellation Fees,Cancellation Fees
assistance to check the invoice from 5 purchases ago,assistance to check the invoice from 5 purchases ago,11,Invoice Retrieval,Invoice Retrieval
assistance to check the invoices from last month,assistance to check the invoices from last month,11,Invoice Retrieval,Invoice Retrieval
assistance to check the options for delivery,assistance to check the options for delivery,4,Checking Delivery Options,Checking Delivery Options
assistance to check the status of my order,assistance to check the status of my order,2,Order Tracking,Order Tracking
assistance to check what delivery options i can choose,assistance to check what delivery options i can choose,4,Checking Delivery Options,Checking Delivery Options
assistance to check what hours customer service available is,assistance to check what hours customer service available is,8,Customer Service Contact & Hours,Customer Service Contact & Hours
assistance to check what options for delivery you offer,assistance to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
assistance to check what payment methods are available,assistance to check what payment methods are available,7,Accepted Payment Methods,Accepted Payment Methods
assistance to check what payment methods you accept,assistance to check what payment methods you accept,7,Accepted Payment Methods,Accepted Payment Methods
assistance to check when my item is going to arrive,assistance to check when my item is going to arrive,22,Delivery Time Inquiry,Delivery Time Inquiry
assistance to check your allowed payment methods,assistance to check your allowed payment methods,7,Accepted Payment Methods,Accepted Payment Methods
assistance to check your refund policy,assistance to check your refund policy,15,Refunds Related Help,Refunds Related Help
assistance to contact a person,assistance to contact a person,12,Contact Live Agent,Contact Live Agent
assistance to contact customer service,assistance to contact customer service,8,Customer Service Contact & Hours,Customer Service Contact & Hours
assistance to create an account,assistance to create an account,10,Account Creation Assistance,Account Creation Assistance
assistance to delete my account,assistance to delete my account,5,Account Termination Requests,Account Termination Requests
assistance to edit my account,assistance to edit my account,25,Edit Account Information,Edit Account Information
assistance to edit my personal information,assistance to edit my personal information,25,Edit Account Information,Edit Account Information
assistance to edit the information on my account,assistance to edit the information on my account,25,Edit Account Information,Edit Account Information
assistance to file a complaint,assistance to file a complaint,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance to file a complaint against your business,assistance to file a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance to file a complaint against your organizxation,assistance to file a complaint against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance to find the invoice,assistance to find the invoice,24,Invoice Retrieval,Invoice Retrieval
assistance to find the invoice from 4 purchases ago,assistance to find the invoice from 4 purchases ago,11,Invoice Retrieval,Invoice Retrieval
assistance to find the invoices from january,assistance to find the invoices from january,11,Invoice Retrieval,Invoice Retrieval
assistance to get a refund of money,assistance to get a refund of money,1,Refunds Related Help,Refunds Related Help
assistance to get my invoice,assistance to get my invoice,24,Invoice Retrieval,Invoice Retrieval
assistance to get my money back,assistance to get my money back,1,Refunds Related Help,Refunds Related Help
assistance to get refunds of money,assistance to get refunds of money,1,Refunds Related Help,Refunds Related Help
assistance to get the invoice from 3 purchases ago,assistance to get the invoice from 3 purchases ago,11,Invoice Retrieval,Invoice Retrieval
assistance to get the invoice from last month,assistance to get the invoice from last month,11,Invoice Retrieval,Invoice Retrieval
assistance to get the invoices from december,assistance to get the invoices from december,11,Invoice Retrieval,Invoice Retrieval
assistance to get the invoices from last month,assistance to get the invoices from last month,11,Invoice Retrieval,Invoice Retrieval
assistance to leave a review,assistance to leave a review,23,Leaving a Review,Leaving a Review
assistance to make a consumer complaint,assistance to make a consumer complaint,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance to make a purchase,assistance to make a purchase,21,Buying Assistance,Buying Assistance
assistance to make an order,assistance to make an order,9,Order Modifications,Order Modifications
assistance to notify of a bloody sign-up problem,assistance to notify of a  sign-up problem,19,Registration Help & Issues,Registration Help & Issues
assistance to open a new user account for my mum,assistance to open a new user account for my mum,10,Account Creation Assistance,Account Creation Assistance
assistance to receive the company newsletter,assistance to receive the company newsletter,18,Newsletter Management,Newsletter Management
assistance to recover my account pin,assistance to recover my account pin,16,Password Recovery,Password Recovery
assistance to recover my password,assistance to recover my password,16,Password Recovery,Password Recovery
assistance to register,assistance to register,19,Registration Help & Issues,Registration Help & Issues
assistance to remove an item,assistance to remove an item,5,Account Termination Requests,Order Modifications
assistance to report a payment issue,assistance to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report a registration issue,assistance to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
assistance to report issues with payment,assistance to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report issues with payments,assistance to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report payment issues,assistance to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report registration issues,assistance to report registration issues,19,Registration Help & Issues,Registration Help & Issues
assistance to retrieve my user account password,assistance to retrieve my user account password,16,Password Recovery,Password Recovery
assistance to see the cancellation penalties,assistance to see the cancellation penalties,13,Cancellation Fees,Cancellation Fees
assistance to see the cancellation penalty,assistance to see the cancellation penalty,13,Cancellation Fees,Cancellation Fees
assistance to see what payment methods are accepted,assistance to see what payment methods are accepted,7,Accepted Payment Methods,Accepted Payment Methods
assistance to see what payment options are avaqilable,assistance to see what payment options are available,7,Accepted Payment Methods,Accepted Payment Methods
assistance to set a different shipping address up,assistance to set a different shipping address up,0,Change Delivery Address,Change Delivery Address
assistance to set a new shipping address up,assistance to set a new shipping address up,0,Change Delivery Address,Change Delivery Address
assistance to set another shipping address up,assistance to set another shipping address up,0,Change Delivery Address,Change Delivery Address
assistance to set up a different shipping address,assistance to set up a different shipping address,0,Change Delivery Address,Change Delivery Address
assistance to set up a new shipping address,assistance to set up a new shipping address,0,Change Delivery Address,Change Delivery Address
assistance to set up another shipping address,assistance to set up another shipping address,0,Change Delivery Address,Change Delivery Address
assistance to solve a payment issue,assistance to solve a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
assistance to solve an issue with payments,assistance to solve an issue with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance to solve issues with payment,assistance to solve issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance to solve issues with payments,assistance to solve issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance to solve payment issues,assistance to solve payment issues,17,Payment Issues Assistance,Payment Issues Assistance
assistance to speak to a fucking agent,assistance to speak to a  agent,12,Contact Live Agent,Contact Live Agent
assistance to submit some feedback for a service,assistance to submit some feedback for a service,20,Customer - Claim/Complaint,Leaving a Review
assistance to submit some feedback for your company,assistance to submit some feedback for your company,20,Customer - Claim/Complaint,Leaving a Review
assistance to submit some feedback for your services,assistance to submit some feedback for your services,20,Customer - Claim/Complaint,Leaving a Review
assistance to subscribe to your company newsletter,assistance to subscribe to your company newsletter,18,Newsletter Management,Newsletter Management
assistance to subscribe to your corporate newsletter,assistance to subscribe to your corporate newsletter,18,Newsletter Management,Newsletter Management
assistance to switch to another account,assistance to switch to another account,14,Switching Accounts,Switching Accounts
assistance to switch user,assistance to switch user,14,Switching Accounts,Switching Accounts
assistance to take a quick look at my invoice,assistance to take a quick look at my invoice,24,Invoice Retrieval,Invoice Retrieval
assistance to take a quick look at the invoice,assistance to take a quick look at the invoice,24,Invoice Retrieval,Invoice Retrieval
assistance to take a quick look at the invoice from july,assistance to take a quick look at the invoice from july,11,Invoice Retrieval,Invoice Retrieval
assistance to talk to an agent,assistance to talk to an agent,12,Contact Live Agent,Contact Live Agent
assistance to track an order,assistance to track an order,2,Order Tracking,Order Tracking
assistance to track my order,assistance to track my order,2,Order Tracking,Order Tracking
assistance to track the last order,assistance to track the last order,2,Order Tracking,Order Tracking
assistance to track the refund,assistance to track the refund,15,Refunds Related Help,Refunds Related Help
assistance to use another account,assistance to use another account,14,Switching Accounts,Switching Accounts
assistance toi notify of a sign-up problem,assistance toi notify of a sign-up problem,19,Registration Help & Issues,Registration Help & Issues
assistance tracking an order,assistance tracking an order,2,Order Tracking,Order Tracking
assistance tracking the refund,assistance tracking the refund,15,Refunds Related Help,Refunds Related Help
assistance trying to correct my delivery address,assistance trying to correct my delivery address,0,Change Delivery Address,Change Delivery Address
assistance using another account,assistance using another account,14,Switching Accounts,Switching Accounts
assistance using my new user account,assistance using my new user account,10,Account Creation Assistance,Account Creation Assistance
assistance using my new user profile,assistance using my new user profile,26,Changing User Profiles,Changing User Profiles
assistance with a shipping address change,assistance with a shipping address change,0,Change Delivery Address,Change Delivery Address
assistance with cancelling the order i have made,assistance with cancelling the order i have made,6,Order Cancellation,Order Cancellation
assistance with cancelling the order i made,assistance with cancelling the order i made,6,Order Cancellation,Order Cancellation
assistance with changing an order,assistance with changing an order,9,Order Modifications,Order Modifications
assistance with changing several items of an order,assistance with changing several items of an order,9,Order Modifications,Order Modifications
assistance with removing several items from an order,assistance with removing several items from an order,6,Order Cancellation,Order Modifications
ay are not being helpful can i speak with a live agent,ay are not being helpful can i speak with a live agent,12,Contact Live Agent,Contact Live Agent
buy a few of your item,buy a few of your item,21,Buying Assistance,Buying Assistance
buy several of your item,buy several of your item,21,Buying Assistance,Buying Assistance
buy some items,buy some items,21,Buying Assistance,Buying Assistance
can i call customer assistance,can i call customer assistance,8,Customer Service Contact & Hours,Customer Service Contact & Hours
can i cancel the company newsletter subscription?,can i cancel the company newsletter subscription?,18,Newsletter Management,Newsletter Management
can i cancel the subscription to your company newsletter?,can i cancel the subscription to your company newsletter?,18,Newsletter Management,Newsletter Management
can i change my shipping address?,can i change my shipping address?,0,Change Delivery Address,Change Delivery Address
can i change the last order?,can i change the last order?,9,Order Modifications,Order Modifications
can i change the order i have made?,can i change the order i have made?,9,Order Modifications,Order Modifications
can i change the order i made?,can i change the order i made?,9,Order Modifications,Order Modifications
can i change the shipping address?,can i change the shipping address?,0,Change Delivery Address,Change Delivery Address
can i changew to another profile?,can i change to another profile?,26,Changing User Profiles,Changing User Profiles
can i chat with a human agent?,can i chat with a human agent?,12,Contact Live Agent,Contact Live Agent
can i check at what time customer service available is?,can i check at what time customer service available is?,8,Customer Service Contact & Hours,Customer Service Contact & Hours
can i check at what time i can contact customer service?,can i check at what time i can contact customer service?,8,Customer Service Contact & Hours,Customer Service Contact & Hours
can i check how long refunds take?,can i check how long refunds take?,15,Refunds Related Help,Refunds Related Help
can i check how long refunds usually take?,can i check how long refunds usually take?,15,Refunds Related Help,Refunds Related Help
can i check how soon can i expect the item?,can i check how soon can i expect the item?,22,Delivery Time Inquiry,Delivery Time Inquiry
can i check if there is any updates on my refund?,can i check if there is any updates on my refund?,15,Refunds Related Help,Refunds Related Help
can i check if there is anything wrong with my refund?,can i check if there is anything wrong with my refund?,15,Refunds Related Help,Refunds Related Help
can i check in what cases can i ask for a refund?,can i check in what cases can i ask for a refund?,15,Refunds Related Help,Refunds Related Help
can i check in what cases can i ask for refunds?,can i check in what cases can i ask for refunds?,15,Refunds Related Help,Refunds Related Help
can i check in what cases can i ask to be refunded?,can i check in what cases can i ask to be refunded?,15,Refunds Related Help,Refunds Related Help
can i check my invoice?,can i check my invoice?,24,Invoice Retrieval,Invoice Retrieval
can i check my refund status?,can i check my refund status?,15,Refunds Related Help,Refunds Related Help
can i check the cancellation fee?,can i check the cancellation fee?,13,Cancellation Fees,Cancellation Fees
can i check the cancellation fees?,can i check the cancellation fees?,13,Cancellation Fees,Cancellation Fees
can i check the delivery options?,can i check the delivery options?,4,Checking Delivery Options,Checking Delivery Options
can i check the options for delivery?,can i check the options for delivery?,4,Checking Delivery Options,Checking Delivery Options
can i check the refund status?,can i check the refund status?,15,Refunds Related Help,Refunds Related Help
can i check under what circumstances can i ask for a refund?,can i check under what circumstances can i ask for a refund?,15,Refunds Related Help,Refunds Related Help
can i check what delivery options i have?,can i check what delivery options i have?,4,Checking Delivery Options,Checking Delivery Options
can i check what hours customer service available is?,can i check what hours customer service available is?,8,Customer Service Contact & Hours,Customer Service Contact & Hours
can i check what hours i can contact customer service?,can i check what hours i can contact customer service?,8,Customer Service Contact & Hours,Customer Service Contact & Hours
can i check what options for delivery i can choose?,can i check what options for delivery i can choose?,4,Checking Delivery Options,Checking Delivery Options
can i check what options for delivery you offer?,can i check what options for delivery you offer?,4,Checking Delivery Options,Checking Delivery Options
can i check what payment methods you accept?,can i check what payment methods you accept?,7,Accepted Payment Methods,Accepted Payment Methods
can i check when my item is going to arrive?,can i check when my item is going to arrive?,22,Delivery Time Inquiry,Delivery Time Inquiry
can i check when will my item arrive?,can i check when will my item arrive?,22,Delivery Time Inquiry,Delivery Time Inquiry
can i check your money back policy?,can i check your money back policy?,1,Refunds Related Help,Refunds Related Help
can i check your refund policy?,can i check your refund policy?,15,Refunds Related Help,Refunds Related Help
can i contact customer service?,can i contact customer service?,8,Customer Service Contact & Hours,Customer Service Contact & Hours
can i create an account?,can i create an account?,10,Account Creation Assistance,Account Creation Assistance
can i delete my account?,can i delete my account?,5,Account Termination Requests,Account Termination Requests
can i edit my personal information?,can i edit my personal information?,25,Edit Account Information,Edit Account Information
can i edit the information on my account?,can i edit the information on my account?,25,Edit Account Information,Edit Account Information
can i file a complaint against your business?,can i file a complaint against your business?,20,Customer - Claim/Complaint,Customer - Claim/Complaint
can i file a complaint?,can i file a complaint?,20,Customer - Claim/Complaint,Customer - Claim/Complaint
can i get my invoices?,can i get my invoices?,24,Invoice Retrieval,Invoice Retrieval
can i get the invoice from november?,can i get the invoice from november?,11,Invoice Retrieval,Invoice Retrieval
can i get the invoices from 6 purchases ago?,can i get the invoices from 6 purchases ago?,11,Invoice Retrieval,Invoice Retrieval
can i get the invoices from last month?,can i get the invoices from last month?,11,Invoice Retrieval,Invoice Retrieval
can i get the invoices from my last purchase?,can i get the invoices from my last purchase?,11,Invoice Retrieval,Invoice Retrieval
can i get the invoices?,can i get the invoices?,24,Invoice Retrieval,Invoice Retrieval
can i leave a review?,can i leave a review?,23,Leaving a Review,Leaving a Review
can i lodge a consumer complaint against ur company,can i lodge a consumer complaint against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
can i lodge a consumer complaint?,can i lodge a consumer complaint?,20,Customer - Claim/Complaint,Customer - Claim/Complaint
can i make a consumer reclamation against your organization?,can i make a consumer reclamation against your organization?,20,Customer - Claim/Complaint,Customer - Claim/Complaint
can i open a different account?,can i open a different account?,14,Switching Accounts,Switching Accounts
can i open a different online account?,can i open a different online account?,10,Account Creation Assistance,Account Creation Assistance
can i pay with amex?,can i pay with amex?,7,Accepted Payment Methods,Accepted Payment Methods
can i pay with google pay?,can i pay with google pay?,7,Accepted Payment Methods,Accepted Payment Methods
can i recover my password?,can i recover my password?,16,Password Recovery,Password Recovery
can i recover my uswer account pass?,can i recover my user account pass?,16,Password Recovery,Password Recovery
can i register?,can i register?,19,Registration Help & Issues,Registration Help & Issues
can i remove several items?,can i remove several items?,9,Order Modifications,Order Modifications
can i report a registration issue?,can i report a registration issue?,19,Registration Help & Issues,Registration Help & Issues
can i report registration issues?,can i report registration issues?,19,Registration Help & Issues,Registration Help & Issues
can i restore the goddamn pin code of my account?,can i restore the  pin code of my account?,16,Password Recovery,Password Recovery
can i see at what time i can contact customer assistance,can i see at what time i can contact customer assistance,8,Customer Service Contact & Hours,Customer Service Contact & Hours
can i see at what time i can contact customer assistance?,can i see at what time i can contact customer assistance?,8,Customer Service Contact & Hours,Customer Service Contact & Hours
